,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
641,0xf42ed7184f3bdd07b0456952f67695683afd9044,3,8,107248,0.0,0.0,0.0,normal
642,0xd33577609f71eeb9e72b8b077590f50f9cbbce0a,58421,847,102914,1.47389450608e+23,3.99379521e+20,0.0,normal
643,0x2819c144d5946404c0516b6f817a960db37d4929,239393,145561,844185,2.3189949505550578e+24,1.5e+22,0.0,normal
644,0x05be6e1f661dacd4630e1ebe2ffce5bfb962076f,37,3,123543,1.1855e+20,1e+19,0.0,normal
645,0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb,15,13,376033,1.8300447162179895e+20,4.000288223240441e+19,0.0,normal
646,0xa3b65ba11f77f4b53a691fd722373d038418cdce,18,17,213474,7.883198525515494e+16,5e+16,0.0,normal
647,0x0a73573cf2903d2d8305b1ecb9e9730186a312ae,40898,14232,138566,3.3228439020738865e+20,1.0096653961444072e+18,0.0,normal
648,0x249bdb4499bd7c683664c149276c1d86108e2137,10472,18,201779,1.9948037321789e+22,5e+19,0.0,normal
649,0x9d043fab60c8013752926acbe681b58e77341ee9,2978,43,260381,8.078729610358963e+22,2.23842666e+20,6486210000000000.0,normal
650,0xb7f830845e9f385372ae6fb160aa968908f5bfbc,15060,18,353123,3.297168440705413e+21,8e+19,0.0,normal
651,0x571037cc2748c340e3c6d9c7af589c6d65806618,3,7,154684,7e+18,6.9e+18,0.0,normal
652,0x8271b2e8cbe29396e9563229030c89679b9470db,82254,75482,144574,1.78159396462707e+24,2.5e+22,0.0,normal
653,0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc,54733,8,145276,1.1449506630946964e+25,2.045e+23,0.0,normal
654,0x999d1ce359692aebc26cd969a31d47d150128600,28436,128973,140921,1.930089563398e+23,9.99999e+20,0.0,normal
655,0x9e0b9ddba97dd4f7addab0b5f67036eebe687606,1,2,516884,0.0,0.0,0.0,normal
656,0x23d4510581c8db721bda7415c1bba27c80f243a9,5388,16821,159340,1.74410334626e+23,3.72e+21,0.0,normal
657,0xc55eddadeeb47fcde0b3b6f25bd47d745ba7e7fa,69271,21436,258224,1.1890185313286511e+24,5.666e+21,0.0,normal
658,0x690b9a9e9aa1c9db991c7721a92d351db4fac990,11617,67,431397,7.1437381036233535e+22,5.236763927466254e+20,0.0,normal
659,0x0fd081e3bb178dc45c0cb23202069dda57064258,151318,26183,293665,2.39906768966539e+24,5e+21,1000000000000000.0,normal
660,0x356483dc32b004f32ea0ce58f7f88879886e9074,1,13,305196,0.0,0.0,0.0,normal
661,0x9c19b0497997fe9e75862688a295168070456951,190186,42397,397108,1.669823571773125e+24,3.99999996e+22,0.0,normal
662,0xc9f5296eb3ac266c94568d790b6e91eba7d76a11,84892,41786,372297,3.393127444035696e+23,7.999994e+21,0.0,normal
663,0xb3aaaae47070264f3595c5032ee94b620a583a39,67242,19480,114172,1.3823763812329556e+24,1e+23,0.0,normal
664,0xa8f769b88d6d74fb2bd3912f6793f75625228baf,33116,14,177071,7.766473700275943e+22,8.827024121e+20,0.0,normal
665,0x0699a397c3cf614c9a7db23a4be28fc4c8f3a755,158,19,423552,4.11737e+19,2.094e+19,0.0,normal
666,0x5baeac0a0417a05733884852aa068b706967e790,195805,123638,300604,5.248079231772159e+23,1.939066318614899e+22,0.0,normal
667,0xcdd37ada79f589c15bd4f8fd2083dc88e34a2af2,123767,119833,374695,1.5670670026854102e+23,1.5e+20,0.0,normal
668,0xa71c8bae673f99ac6c0f32c56efc89a8ddb9a501,3,17,937248,0.0,0.0,0.0,normal
