,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
67,KT1NRLjyE7wxeSZ6La6DfuhSKCAAnc9Lnvdg,2,206,77213,0.0,0.0,0.0,normal
68,KT1Cq3pyv6QEXugsAC2iyXr7ecFqN7fJVTnA,1225,1737,45901,686303681506.0,22383802902.0,0.0,normal
69,KT1AvxTNETj3U4b3wKYxkX6CKya1EgLZezv8,3,5598,63109,192265000000.0,15000000.0,0.0,normal
70,tz1RppFXwXu1SFWE14NYhbroJ2uD4dXeqo7o,7,6,54378,51050000.0,50000000.0,0.0,normal
71,tz1SiPXX4MYGNJNDsRc7n8hkvUqFzg8xqF9m,245771,135433,564937,1150952057668121.0,25750906000000.0,9000.0,likely anomaly
72,tz1Z7eWGw18LqUgRqmDqNZFQx7f8GEHXRfT8,30629,16267,53237,203458906463189.0,1106359618007.0,2720.0,normal
73,tz1TDS7BsNWczhiq1qGGfDxioY2d2WQxvahe,2095,4,36801,13833449119.0,126028489.0,0.0,normal
74,KT1LLKbQe5rJ4yY7PuH2T9xTCbnWaFc7wHRs,3,477,31340,0.0,0.0,0.0,normal
75,KT1ND1bkLahTzVUt93zbDtGugpWcL23gyqgQ,175,289,36136,269297837286.0,14409629336.0,0.0,normal
76,KT1GUSLg3CUH2r8Ez5qx4evrJjJmBKuv7dRB,4,473,31037,10345000000.0,970000.0,0.0,normal
77,tz1ggJg924JdWdww6oLGFksRgKctfrDMUNfE,2246,9,138347,458184319742.0,10000000000.0,8.0,normal
78,tz1acb9QgYWqt13WUmkXSaaM2bXwZyQthcnT,111,61,36533,4667931040651.0,55000000000.0,0.0,normal
79,tz2L9474hvA2EXyNLi4u3YnqrKVf3GzeZ8tb,2,3,59030,8102200000.0,8101200000.0,0.0,normal
80,tz1WpH8peQDkYFhkuKw17KnrT4uWvAKKULwh,3597,3,239512,692411991862.0,4746000000.0,1.0,normal
81,KT1BvWGFENd4CXW5F3u4n31xKfJhmBGipoqF,1538,3898,207641,117651344793.0,1020000000.0,0.0,normal
82,KT1BJC12dG17CVvPKJ1VYaNnaT5mzfnUTwXv,2580,16763,1609787,3711685703028.0,950000000.0,0.0,normal
83,tz1XwJTLycM7mfDNamzsh2y7TdsnNTwZiDAa,3806,3,281851,135114600129.0,256451796.0,50.0,normal
84,KT1KRvNVubq64ttPbQarxec5XdS6ZQU4DVD2,13,4890,40121,0.0,0.0,0.0,normal
85,tz1LnHsA2wpn7guf8b7xzX2i5zNKRQoRQVgJ,70015,23443,125593,128802089812488.0,901906067603.0,11870.0,normal
86,KT1KY2x1XrWykYd2dbBNXfE6tVUU3eYNB4wo,2022,3290,205413,38516035943.0,1950000000.0,0.0,normal
87,tz1PK5aqTegwKU46AL781A53ik4x2dKA5yr4,16,17,45790,2508148899.0,90000000.0,0.0,normal
88,tz1dkUXrcScDxMTUkNuzTg5iBRHevn7KFBMW,161,77,438786,17660739991985.0,953111684.0,0.0,normal
89,KT1Evsp2yA19Whm24khvFPcwimK6UaAJu8Zo,1167,1490,41287,1628208652869.0,12307475628.0,0.0,normal
90,tz1Ziaxoio55wxE9UWpXnaMgRtSN3VBhgGTX,430,140,56299,553120513777.0,80000000000.0,0.0,normal
91,tz1TyAEPtLt7oapQvZirVbswz1VRbdRqdfW7,436,4,40417,7018993369.0,600000000.0,0.0,normal
92,tz1Yedv84Wuo26r5WveKWvL769qG68E5Gudk,84,32,37176,368488358991.0,200000000.0,0.0,normal
93,tz1hfXvfcbbfcA77U8RXn7xLbRn3NHU4ksU1,499,12,32019,376336387871.0,160000000000.0,0.0,normal
94,tz1XCVi5o7tH24K3waEcFxR9ZEKJiMMBR4tv,151,71,207466,6633164054852.0,677478450.0,0.0,normal
95,KT1PnUZCp3u2KzWr93pn4DD7HAJnm3rWVrgn,60,1482,108694,0.0,0.0,0.0,normal
96,KT1KgNVokovu4dSBFZXmFXgUni5TypwMBbRS,19,86,66274,0.0,0.0,0.0,normal
97,tz2LKitkzuQko37bKETuXUSmFkgCfx1Huvmp,11375,2730,40372,155245695508467.0,732577929797.0,756000.0,normal
98,tz1SohptP53wDPZhzTWzDUFAUcWF6DMBpaJV,634,11,53653,465249459094.0,102940380000.0,0.0,normal
99,KT1TxqZ8QtKvLu3V3JH7Gx58n7Co8pgtpQU5,1077,1860,169780,40319171874161.0,104350368137.0,0.0,normal
100,KT1NtsnKQ1c3rYB12ZToP77XaJs8WDBvF221,11,1572,34637,0.0,0.0,0.0,normal
101,tz1Y2rhY9nBKfd2jp7m4z8iAMKKARWS3BvFA,1875,5,212921,193582657061.0,9500000000.0,0.0,normal
102,KT19UPAURJUbvicpGUKpbcjM9KmfseFhtWn8,24,6,45458,0.0,0.0,0.0,normal
103,tz1LsnEuv4fLsgxU9HJK21v8zHwcuBjb99Cd,1861,4,242707,696773336228.0,10000000000.0,0.0,normal
104,tz1Y2ufHak4AcisVazSS1ymGgv4HAmFGagh5,337,5,33734,181558522069.0,232693062.0,9726.0,normal
105,KT1QjeN8mDVWX4xpPVioGKBhBJFiMeT2pDof,1,14,77102,0.0,0.0,0.0,normal
106,KT1GqCQqwzSDXBkCr8nFJ932JtcSugfVS2vL,6,1943,34537,0.0,0.0,0.0,normal
107,tz1fishChEERnSesm8mHe7xsJJwymbHVLcYf,15356,3,1195601,2211354568918.0,4734626726.0,1.0,normal
108,KT1P2BXYb894MekrCcSrnidzQYPVqitLoVLc,1,4,566313,316798269719.0,1875000000.0,1.0,normal
109,tz1fRAiiDUxnXZwDmQghh1n6VytQUZWNPwWN,10457,5,717576,570082185713.0,2594000000.0,1.0,normal
110,tz1VTcr81kqzeskt6DX9Jd1xTRahJtAttj1Z,894,7,38465,194038130967.0,425074306.0,1.0,normal
111,KT1Dn3sambs7KZGW88hH2obZeSzfmCmGvpFo,1337,3053,176764,130992749959.0,900000000.0,0.0,normal
112,tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,465,177,74426,123134431594.0,1764303059.0,0.0,normal
113,KT1PwoZxyv4XkPEGnTqWYvjA1UYiPTgAGyqL,112,1332,390189,0.0,0.0,0.0,normal
114,tz1Kf25fX1VdmYGSEzwFy1wNmkbSEZ2V83sY,972,20,92370,155632560061.0,6000000000.0,0.0,normal
115,tz1dbfppLAAxXZNtf2SDps7rch3qfUznKSoK,2027,17,178690,140827155099.0,8950000000.0,14.0,normal
116,tz1MQJPGNMijnXnVoBENFz9rUhaPt3S7rWoz,654,16,66048,245156286231.0,42952122960.0,0.0,normal
117,tz1hD63wN8p9V8o5ARU7wA7RKAQvBAwkeTr7,91,20,36623,254990596369.0,102073650027.0,0.0,normal
