,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
229,io1cs5nc3hxnvflytr4r8amrqqzcf0e0wcszpf2d4,1,1,60101,7.329088906e+21,5.30926e+17,3.642e+16,normal
230,io1v9yl3fx7260hneq4rs6zcgmg739hvxzv03lu2r,5,4,23845,1.382393946e+22,9.22521e+20,1e+16,normal
231,io1zsslevfdyzdt26lcg0s6nuhc5c4yas4l8ad3s7,1,1,16272,2.808327640008595e+22,4.30709e+19,3.4714418684720864e+16,normal
232,io1tslrkdxmudgrxyla2kgtse7a82xu9mzqr9525g,1,1,15802,4.843803699574411e+21,2.101641e+18,7.452e+16,normal
233,io1z37d4c4l06qfh9uf45rktzvuq6ekr3ww6tju03,6297,5872,217959,9.40530041736256e+26,4.44911514024429e+24,1.0,normal
234,io1dhf355nwu0wmc7lg3zmjnfz9d9wqx9yw3eg7rf,3542,6,54876,7.272070284e+21,2.09593e+17,0.0,normal
235,io1ukznqct7k7feewkjl0stu3mfq4sv0tvm27sk6x,22,22,14087,2.7382330796419846e+23,2.22e+22,1e+16,normal
236,io1lv7z3tvwtz5dz6e2tyqmdajkz87y9eqwyf432k,8,2,10214,1.4492870261117224e+23,7.8e+21,1e+16,normal
237,io18jtr7ddu7pva22f80x477f3qtcag0ndmsjdf04,7,4,10769,1.006142369009e+22,9.5e+20,1e+16,normal
238,io1m7ghzeuum9zgh9zxkr6zzqsjh2247zfuf4n9mv,63,72,36098,3.578289025591648e+23,3.6e+22,1e+16,normal
239,io1pqvw2ws0jz8ln0w0yvp85hrmpl8fe5467mrnyj,38,22,11143,8.030456753808545e+25,1.80436e+24,0.0,normal
240,io1gf862fdv3yde82a34qx220jvkpjsgfeues6aut,24,20,15689,6.69152050893528e+25,2.5e+23,1e+16,normal
241,io1pkz5d3adwt0srvuyktammj4sng3qm8lz59luar,16,9,35256,3.6612317918152282e+22,1.32e+21,1e+16,normal
242,io1t334j87m5zf4wnlwtulj9dqk59lmevfm3n7qch,21,12,35882,9.105088430938435e+22,5.45e+21,1e+16,normal
243,io1cu4msppq6xfch4p2a3pf5plt2n0nz70prs382m,29,22,13217,2.3498926621302855e+24,1.1108554652763979e+23,0.0,normal
244,io1jezfjuazdeplkuykwapjlgvkdypm2nk0tfnpr6,9,10,28441,3.084914324835474e+22,5.44e+21,1.491e+16,normal
245,io1wzrlq5y2akgewemqtf2x90maeqctnf2lyu74gf,9,6,18101,6.87203471477405e+25,3.65181e+23,1e+16,normal
246,io18srrhttlzf2zh63le4sn2csugrnez7d79zl4cq,1,1,13182,5.39796972e+20,4.3856e+16,1.5726e+16,normal
247,io1qwax3mp72ja9m74nwsks0gce53r2ly0gastd4e,15,15,11086,1.7494594522978542e+24,1.46e+23,1e+16,normal
248,io1v9xr6jvrexay6gd3a2jlkpgq88y7smmqwr7rys,19,8,10009,1.217726536399503e+22,2e+21,1e+16,normal
249,io16490k404w79d68u06xn9u4p2u5xwqa78rl36q2,5,2,11096,1.0894325766e+22,1.74e+21,1e+16,normal
250,io15dretdhz3u0z70t6ydpsu7yd75pkf8jrllt023,10,5,16224,7.1241753146e+22,7e+21,1e+16,normal
251,io1hp6y4eqr90j7tmul4w2wa8pm7wx462hq0mg4tw,2,7806,1616614,0.0,0.0,0.0,normal
252,io1etz054p4rszwz24s5z3qfh7rg2suc6nkxahfxt,7,4,19560,3.22204634863e+22,2.1e+21,1e+16,normal
253,io12hrnlxvy9eadjymde78ztr5wly25kxefj2fame,6,4,11836,3.8026096462975525e+21,2.78e+20,1e+16,normal
254,io1unvkgm98ma3r2fnfrhep24arjxf6kc8stx0nuc,2,1,5473614,1.277771237950961e+25,7.233790325450894e+21,10738133338.0,normal
255,io1axpnzjevqfy8xx3p6qtx23xtf96ge2svd06n2w,3,3,16761,4.677523707326887e+21,2.3595845555321766e+20,1e+16,normal
256,io1w7enh0vv87uw9rt732z089nq6652dradk30vlu,108,7,20005,1.6771100780015245e+25,1.3380659069309867e+24,1.0,normal
