Date,sender,tot_transactions,out_degree,in_degree,total_amount,max_amount,min_amount
2019-5,io1e2nqsyt7fkpzs5x7zf2uk0jj72teu5n6aku3tr,34,5,5,6240151000000000000,1110000000000000000,1000000000000000
2019-5,io17zjv5f97j0d9fp6svqnvf2nf3k4a5pjay9kzp9,34,8,16,897095970100000000000000,573160280000000000000000,100000000000000
2019-5,io0000000000000000000000rewardingprotocol,1742,40,186,10829713429781722405946109,408292000000000000000000,0
2019-5,io1v8aj79xc7zdn46rptrqe63g79tgq57s8em2yk5,188,30,1,5404127934981250000000000,409322538000010000000000,10000000000000000
2019-5,io12aymfg8gp2kjeugwdjd50lv3v7wh23v4qgm3x4,47,6,3,236293351398000000000000,51000000000000000000000,1000000000000000
2019-5,io17ch0jth3dxqa7w9vu05yu86mqh0n6502d92lmp,31,10,1,241629410000000000000,88000000000000000000,0
2019-5,io184tnewn64d3a0kq28pljys2mqycrgvquxt2nph,14,8,1,17050000000000000000,5000000000000000000,10000000000000000
2019-6,io1mrm4gchhdwtp4ulyd8yqus9s6tgn5nygtswjxx,58,17,1,215139582851191205014000,100020000000000000000000,10000000000000000
2019-6,io1ms79v8ctuscja6zgel28dfch909yessw663dp9,120,16,7,126630650000000000000,100000000000000000000,0
2019-6,io1g20juhh824jpwc2dmssc0fetfqd6zh069cnxwf,138,8,4,114611129000000000000,50000000000000000000,0
2019-6,io1yn6q5zs7942vfwjd6dmtexjysdfpcj2n27ljar,66,20,2,198929181119000000000000,93520000000000000000000,10000000000000000
2019-6,io1eaeqwg2qd2y5e3647daah7qlmkvxupwzw2jq4w,44,5,1,12363218000000000000,1000000000000000000,0
2019-6,io1jfvca9kkp5n8p0h5fj7alkx0yvp32dr6y23zzp,66,12,4,296378059000000000000,170000000000000000000,0
2019-6,io1mwekae7qqwlr23220k5n9z3fmjxz72tuchra3m,56,9,5,51910317811000000000,21000000000000000000,0
2019-6,io1xdva8lfqh08h2vwe44q0r5x7t0e84jnsef8m7e,39,9,3,27908505000000000000,10000000000000000000,0
2019-6,io15hfmacszmw6g9zugj7cq6a47hdv7qfqkqzjv2w,28,9,4,10815990000000000000,2000000000000000000,0
2019-6,io1y3lhu7mmzgl3ullyjrz5f69rkkew4wqu58m9n0,44,6,4,14913441595000000000000,9750000000000000000000,0
2019-6,io1j9q5r9frrvxlzr4nspag726j6mwla59rkcvdwf,315,6,2,42624729000000000000,10000000000000000000,0
2019-6,io1leaukdnk42lf56eeev3l8f06g8hd0tgmep8z96,81,10,3,364496528000000000000,113000000000000000000,0
2019-6,io1cses0et57mr2kcny0973e8xd0zyg4s7zlxv97m,40,5,2,176154954000000000000,100000000000000000000,0
2019-6,io19s6f55ux5kuamsyfm7gn93y55tt5yn3c8tm6kj,56,5,1,9018375404000000000000,5500000000000000000000,0
