sender,tot_transactions,out_degree,in_degree,total_amount,max_amount,min_amount
tz1TDSWesFo3EAzSUEyYJosdP9hRbDxk94Ua,37789,2106,3,101414864368,319907050,0
tz1LXaBkg3gZLVyB2awuboPAi6CnWxT4bCMt,63997,1037,5,97824594593,284439391,0
KT1VoZeuBMJF6vxtLqEFMoc4no5VDG789D7z,58548,775,2143,23198576224,170000000,0
tz2WDATNYnp7FdsmuZDYSidioZqeoLNZqXvE,41064,18870,9350,77762913907434,5239933000000,0
KT1JdufSdfg3WyxWJcCRNsBFV9V3x9TQBkJ2,190200,1356,1361,3027839573576797,1346829137346,0
tz1TzHDLTNK1J1fCotGBLuE43DoogC5pHGyT,51281,488,9,451105975853,49000000000,1
tz1VQnqCCqX4K5sP3FNkVSNKTdCAMJDd3E1n,98557,1587,10,2965665346315,445656000000,0
KT1WsKJqDiUr1mBSPbpjUfsEfGQiUk1wuCLd,57113,885,3,399790819978,2670515280,1
KT1HUnqM6xFJa51PM2xHfLs7s6ARvXungtyq,37002,12,835,0,0,0
tz1c5wM9826YcUNQ8a17z9eUYpKQ3oW3zfmJ,623973,1,3,0,0,0
tz1PFeoTuFen8jAMRHajBySNyCwLmY5RqF9M,64411,1362,14,36845378875,360000000,0
KT1DksKXvCBJN7Mw6frGj6y6F3CbABWZVpj1,45073,1154,1652,4578217534444,88163964320,0
tz1QS7N8HnRBG2RNh3Kjty58XFXuLFVdnKGY,51954,795,7,172246438281,40000000000,0
KT1KJhxkCpZNwAFQURDoJ79hGqQgSC9UaWpG,53325,2,1219,0,0,0
tz1STpayh8rNYqpxVf3x86pWpzmcKwmrMvNv,69961,2159,3,172368374226,365189505,100
tz1Tnr7CDL5i45EHSPpPReBocDiGbMwpdTCn,374908,10748,4,95977840891,468334127,1
tz1aF8E89g1EqqzCmbNCLunTtCtxgkoQUX7N,68269,935,3,185234535336,275037046,574
KT1P8n2qzJjwMPbHJfi4o8xu6Pe3gaU3u2A3,104990,1,57752,0,0,0
KT1JAgJC6FTJ9SzGGits8GVonCr8cfFp5HGV,38286,837,993,183299190224,10046020074,0
tz1LcDMi4TAPL31ZRvkYDm4fAXFWRugCzxPY,71996,529,60,28550612468,1000000000,0
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,288663,3949,56,777897860148,38630000000,0
tz1cNnEdJYgbkB8YN6vD5QJTBays2EJsw5A7,47868,190,47,55038811526,2000000000,0
KT1Kp3KVT4nHFmSuL8bvETkgQzseUYP3LDBy,49509,2,1175,0,0,0
KT1QxLqukyfohPV5kPkw97Rs6cw1DDDvYgbB,96558,4249,6131,4543568068262,23158584194,0
tz1fTLiQ2bFzVJR4qzpu5nzuzDmc6mEpAUAJ,44166,736,5,8247110224,161032912,1
KT1WxgZ1ZSfMgmsSDDcUn8Xn577HwnQ7e1Lb,158720,3951,5048,4919111771688,25240118522,0
tz1ZHbDC8zZWuTuGDPfVWrd4EdDMz44oJ8UF,48212,2,2,1000000,1000000,0
tz1ZF8Cg8ARjRjVrVDnQsHDBbg4bBspJAcPb,57918,116,46,958519350039,1540000000,0
tz1MoonPbyMJSqMVsVwExgVc5egnv18CgSDq,260764,3675,11,1247187071427,3470952957,1
